Species,15_21_Day,18_24_Day,Date,MHW,MHW_Tank,SH_Temp,SH_Tide,Oyster_No,Mortality,Notes
C_sikamea,15,12,3/10/2022,15,1,15,Tide,20,0,NA
C_sikamea,15,12,3/10/2022,15,1,15,No Tide,20,0,NA
C_sikamea,15,12,3/10/2022,15,1,21,Tide,18,0,NA
C_sikamea,15,12,3/10/2022,15,1,21,No Tide,20,0,NA
C_sikamea,15,12,3/10/2022,15,2,15,Tide,20,0,NA
C_sikamea,15,12,3/10/2022,15,2,15,No Tide,20,0,NA
C_sikamea,15,12,3/10/2022,15,2,21,Tide,19,0,NA
C_sikamea,15,12,3/10/2022,15,2,21,No Tide,19,0,NA
C_sikamea,15,12,3/10/2022,15,3,15,Tide,19,0,NA
C_sikamea,15,12,3/10/2022,15,3,15,No Tide,21,0,NA
C_sikamea,15,12,3/10/2022,15,3,21,Tide,19,0,NA
C_sikamea,15,12,3/10/2022,15,3,21,No Tide,19,0,NA
C_sikamea,15,12,3/10/2022,15,4,15,Tide,20,0,NA
C_sikamea,15,12,3/10/2022,15,4,15,No Tide,21,0,NA
C_sikamea,15,12,3/10/2022,15,4,21,Tide,19,0,NA
C_sikamea,15,12,3/10/2022,15,4,21,No Tide,20,0,NA
C_sikamea,15,12,3/10/2022,15,5,15,Tide,20,0,NA
C_sikamea,15,12,3/10/2022,15,5,15,No Tide,20,0,NA
C_sikamea,15,12,3/10/2022,15,5,21,Tide,19,0,NA
C_sikamea,15,12,3/10/2022,15,5,21,No Tide,20,0,NA
C_sikamea,15,12,3/10/2022,21,16,15,Tide,20,0,NA
C_sikamea,15,12,3/10/2022,21,16,15,No Tide,20,0,NA
C_sikamea,15,12,3/10/2022,21,16,21,Tide,19,0,NA
C_sikamea,15,12,3/10/2022,21,16,21,No Tide,20,0,NA
C_sikamea,15,12,3/10/2022,21,17,15,Tide,20,0,NA
C_sikamea,15,12,3/10/2022,21,17,15,No Tide,20,0,NA
C_sikamea,15,12,3/10/2022,21,17,21,Tide,19,0,NA
C_sikamea,15,12,3/10/2022,21,17,21,No Tide,19,0,NA
C_sikamea,15,12,3/10/2022,21,18,15,Tide,20,0,NA
C_sikamea,15,12,3/10/2022,21,18,15,No Tide,21,0,NA
C_sikamea,15,12,3/10/2022,21,18,21,Tide,19,0,NA
C_sikamea,15,12,3/10/2022,21,18,21,No Tide,20,0,NA
C_sikamea,15,12,3/10/2022,21,19,15,Tide,19,0,NA
C_sikamea,15,12,3/10/2022,21,19,15,No Tide,21,0,NA
C_sikamea,15,12,3/10/2022,21,19,21,Tide,19,0,NA
C_sikamea,15,12,3/10/2022,21,19,21,No Tide,20,0,NA
C_sikamea,15,12,3/10/2022,21,20,15,Tide,19,0,NA
C_sikamea,15,12,3/10/2022,21,20,15,No Tide,20,0,NA
C_sikamea,15,12,3/10/2022,21,20,21,Tide,19,0,NA
C_sikamea,15,12,3/10/2022,21,20,21,No Tide,20,0,NA
